Sample,barcode,type,Genus,count
Mcav-cntrl,81,Bacteria,Mycolicibacterium,140
Mcav-cntrl,81,Bacteria,uncultured,5
Mcav-cntrl,81,Bacteria,Escherichia,3
Mcav-cntrl,81,Bacteria,Pseudomonas,3
Mcav-cntrl,81,Bacteria,Aquimarina,2
Mcav-cntrl,81,Bacteria,Gammaproteobacteria,2
Mcav-cntrl,81,Bacteria,Geobacter,2
Mcav-cntrl,81,Bacteria,Martelella,2
Mcav-cntrl,81,Bacteria,Acidihalobacter,1
Mcav-cntrl,81,Bacteria,Actinoalloteichus,1
Mcav-cntrl,81,Bacteria,Actinomyces,1
Mcav-cntrl,81,Bacteria,Alcanivorax,1
Mcav-cntrl,81,Bacteria,Alphaproteobacteria,1
Mcav-cntrl,81,Bacteria,Altererythrobacter,1
Mcav-cntrl,81,Bacteria,Anaeromyxobacter,1
Mcav-cntrl,81,Bacteria,Azospirillum,1
Mcav-cntrl,81,Bacteria,bacterium,1
Mcav-cntrl,81,Bacteria,Blastochloris,1
Mcav-cntrl,81,Bacteria,Bradyrhizobiaceae,1
Mcav-cntrl,81,Bacteria,Bradyrhizobium,1
Mcav-cntrl,81,Bacteria,Breznakiella,1
Mcav-cntrl,81,Bacteria,Brucella,1
Mcav-cntrl,81,Bacteria,Burkholderia,1
Mcav-cntrl,81,Bacteria,Candidatus,1
Mcav-cntrl,81,Bacteria,Caulobacter,1
Mcav-cntrl,81,Bacteria,Cetobacterium,1
Mcav-cntrl,81,Bacteria,Chelatococcus,1
Mcav-cntrl,81,Bacteria,Comamonas,1
Mcav-cntrl,81,Bacteria,Curtobacterium,1
Mcav-cntrl,81,Bacteria,Dysgonomonas,1
Mcav-cntrl,81,Bacteria,Enterococcus,1
Mcav-cntrl,81,Bacteria,Faecalibacterium,1
Mcav-cntrl,81,Bacteria,Flavobacterium,1
Mcav-cntrl,81,Bacteria,Granulicella,1
Mcav-cntrl,81,Bacteria,Halioglobus,1
Mcav-cntrl,81,Bacteria,Hyphomonas,1
Mcav-cntrl,81,Bacteria,Kutzneria,1
Mcav-cntrl,81,Bacteria,Leeuwenhoekiella,1
Mcav-cntrl,81,Bacteria,Leisingera,1
Mcav-cntrl,81,Bacteria,Magnetospirillum,1
Mcav-cntrl,81,Bacteria,Maritimibacter,1
Mcav-cntrl,81,Bacteria,Massilia,1
Mcav-cntrl,81,Bacteria,Microbacterium,1
Mcav-cntrl,81,Bacteria,Muricauda,1
Mcav-cntrl,81,Bacteria,Mycobacterium,1
Mcav-cntrl,81,Bacteria,Paracoccus,1
Mcav-cntrl,81,Bacteria,Pedobacter,1
Mcav-cntrl,81,Bacteria,Phenylobacterium,1
Mcav-cntrl,81,Bacteria,Pirellula,1
Mcav-cntrl,81,Bacteria,Pseudovibrio,1
Mcav-cntrl,81,Bacteria,Pukyongiella,1
Mcav-cntrl,81,Bacteria,Qipengyuania,1
Mcav-cntrl,81,Bacteria,Rhodococcus,1
Mcav-cntrl,81,Bacteria,Ruegeria,1
Mcav-cntrl,81,Bacteria,Sandaracinus,1
Mcav-cntrl,81,Bacteria,SAR86,1
Mcav-cntrl,81,Bacteria,Skermanella,1
Mcav-cntrl,81,Bacteria,Sneathiella,1
Mcav-cntrl,81,Bacteria,Sorangium,1
Mcav-cntrl,81,Bacteria,Variovorax,1
Mcav-cntrl,81,Eukaryota,Orbicella,5183
Mcav-cntrl,81,Eukaryota,Plasmodium,2948
Mcav-cntrl,81,Eukaryota,Acropora,461
Mcav-cntrl,81,Eukaryota,Bipolaris,321
Mcav-cntrl,81,Eukaryota,Stylophora,208
Mcav-cntrl,81,Eukaryota,Pocillopora,114
Mcav-cntrl,81,Eukaryota,Trichoderma,76
Mcav-cntrl,81,Eukaryota,Heterocephalus,66
Mcav-cntrl,81,Eukaryota,Chrysodeixis,39
Mcav-cntrl,81,Eukaryota,Dipsastraea,37
Mcav-cntrl,81,Eukaryota,Montastraea,28
Mcav-cntrl,81,Eukaryota,Diadumene,27
Mcav-cntrl,81,Eukaryota,Nematostella,21
Mcav-cntrl,81,Eukaryota,Saccharomyces,17
Mcav-cntrl,81,Eukaryota,Mussismilia,15
Mcav-cntrl,81,Eukaryota,Favia,12
Mcav-cntrl,81,Eukaryota,Diploastrea,11
Mcav-cntrl,81,Eukaryota,Kluyveromyces,11
Mcav-cntrl,81,Eukaryota,Rhinella,11
Mcav-cntrl,81,Eukaryota,Favites,9
Mcav-cntrl,81,Eukaryota,Coelastrea,8
Mcav-cntrl,81,Eukaryota,Colpophyllia,8
