Metrics	barcode81_0	barcode81_1	Barcode81_2	barcode82_0	barcode82_1	barcode82_2	barcode82_3	barcode82_4	barcode82_5	barcode82_6	barcode82_7	barcode82_8	barcode82_9	barcode82_10	barcode82_11	barcode82_12	barcode82_13	#barcode81  is Mcav-cntrl-Ch-2
number_of_reads	3995	3991	3925	3996	3994	3993	3993	3996	3997	3998	3994	3993	3993	3994	4000	3998	3185	
number_of_bases	9647331	12035694	11757101	3283187	3667601	3850137	4055318	4173885	4470839	4487956	4922599	5171923	5478849	4357721	4293143	4462396	4173628	
median_read_length	1281	2089	1978	432	469	469	474	519	545	567	564.5	608	610	492	514	540	614	
mean_read_length	2414.9	3015.7	2995.4	821.6	918.3	964.2	1015.6	1044.5	1118.5	1122.6	1232.5	1295.2	1372.1	1091.1	1073.3	1116.2	1310.4	
read_length_stdev	2854.3	3091.5	3175.7	1258.5	1329.5	1421.9	1513.2	1493.2	1588.5	1561.9	1677.5	1805.3	2020.1	1615.5	1558.2	1566.5	1827.4	
n50	4891	5256	5595	1444	1763	1904	2146	2018	2269	2257	2575	2694	2975	2387	2161	2195	2704	
mean_qual	13.3	13	12.6	13.5	13.5	13.5	13.4	13.4	13.4	13.3	13.3	13.1	13	12.9	12.9	12.8	12.4	
median_qual	13.2	12.9	12.4	13.3	13.4	13.4	13.3	13.4	13.2	13.2	13.2	12.9	12.9	12.7	12.7	12.5	12.1	
longest_read_(with_Q):1	25442 (11.5)	25629 (12.3)	30439 (12.6)	22185 (12.7)	19699 (9.8)	19688 (12.7)	15828 (14.0)	18179 (12.9)	17027 (13.0)	16799 (15.0)	21675 (13.6)	17711 (13.4)	24196 (9.7)	16872 (12.2)	17618 (14.4)	18467 (9.6)	15957 (11.4)	
longest_read_(with_Q):2	24788 (10.1)	23733 (12.0)	22227 (14.1)	20486 (16.4)	18232 (15.8)	18046 (11.1)	14364 (12.9)	16127 (10.3)	16867 (10.7)	16562 (15.0)	17051 (9.8)	17575 (10.3)	21257 (13.2)	16195 (11.0)	16694 (14.9)	16239 (12.9)	15592 (13.5)	
longest_read_(with_Q):3	23191 (14.2)	23302 (13.6)	21814 (9.5)	17796 (15.8)	15267 (9.4)	16785 (13.7)	14229 (10.6)	15279 (15.0)	16561 (10.5)	14775 (14.0)	14528 (12.6)	16605 (14.4)	18247 (14.0)	14993 (11.8)	13525 (14.1)	14600 (12.9)	14159 (9.6)	
longest_read_(with_Q):4	23176 (12.6)	22509 (12.4)	21282 (10.2)	15255 (11.9)	12818 (11.7)	15559 (14.4)	14020 (10.4)	15126 (14.2)	15440 (9.3)	14653 (14.0)	13540 (12.0)	15247 (14.0)	17352 (14.2)	14868 (14.5)	13471 (13.1)	14003 (10.4)	13703 (9.8)	
